,PT08.S4(NO2),PT08.S2(NMHC),C6H6(GT)
0,0.5130395683453237,0.3617369930356411,0.1844979974495231
1,0.4531250000000001,0.3121671446128635,0.1454279595610475
2,0.4512140287769784,0.3037006691246756,0.139148155088107
3,0.4643660071942446,0.3086166871500751,0.1427803414154414
4,0.4222122302158274,0.2470299057763211,0.1001561987723408
5,0.3785971223021583,0.2004642905912877,0.0722092978179026
6,0.3515062949640288,0.1672811689198416,0.05465039661941507
7,0.3515062949640288,0.1577222449815649,0.04996867264411364
8,0.3259892086330935,0.1230370066912468,0.03444385598575476
9,0.3074415467625899,0.09695479994537756,0.0243363958607133
10,0.2903552158273382,0.07838317629386862,0.0179985580322411
11,0.2837230215827338,0.07032636897446401,0.01547956026104232
12,0.3013714028776979,0.09285811825754473,0.02287568143593619
13,0.3543165467625899,0.154991123856343,0.04866256048522428
14,0.4343525179856115,0.2821248122354226,0.1236739248345009
15,0.4639163669064748,0.3151713778506077,0.1476841721110375
16,0.4023156474820144,0.242523555919705,0.09728728441329247
17,0.3645458633093525,0.2068824252355592,0.07583506591110216
18,0.382306654676259,0.2135736719923529,0.07969299748253639
19,0.4432329136690648,0.2650553052027858,0.1119769407021069
20,0.530238309352518,0.3551823023351086,0.1791087352044468
21,0.4925809352517986,0.3000136556056261,0.1364498127169803
22,0.4675134892086332,0.2885429468796941,0.1281971115645655
23,0.5250674460431655,0.3476717192407484,0.1730164062071633
24,0.6888489208633093,0.5108562064727571,0.3247268510057009
25,0.4099595323741007,0.6033046565615185,0.1272290393432908
26,0.7375224820143886,0.5575583777140516,0.3753388521480633
27,0.5195593525179856,0.3785333879557559,0.1986135891684531
28,0.3513938848920864,0.1995083981974601,0.07167557951333743
29,0.3153102517985611,0.1343711593609176,0.0392605506888826
30,0.3705035971223021,0.2303700669124676,0.08972379088551274
31,0.3719649280575539,0.2434794483135327,0.0978929394139008
32,0.3383543165467626,0.1828485593336064,0.06263786644269623
33,0.2859712230215828,0.1043288269834767,0.02705348625955833
34,0.2620278776978417,0.06691246756793665,0.0144552565684816
35,0.2714703237410072,0.06445445855523693,0.01373381828413
36,0.3020458633093525,0.1026901543083436,0.02643999484094476
37,0.3640962230215828,0.1895398060904001,0.06620746122571901
38,0.6066771582733814,0.4655195957940734,0.2785950989062501
39,0.6776079136690647,0.5297009422367882,0.3447755459154059
40,0.521919964028777,0.4010651372388365,0.2182329549217831
41,0.4708857913669065,0.357230643179025,0.180785654112947
42,0.4433453237410073,0.3292366516455005,0.1584404717604464
43,0.4684127697841727,0.3454868223405708,0.1712607698980258
44,0.4987634892086332,0.3792161682370613,0.1991966451770049
45,0.5346223021582734,0.4036597023077974,0.2205420318691257
46,0.4974145683453238,0.3768947152806227,0.1972171942329623
47,0.476056654676259,0.3590058719104192,0.1822443003455737
48,0.6109487410071943,0.487914789020893,0.3010095311014956
49,0.5826214028776979,0.4712549501570394,0.28426545297483
50,0.4099595323741007,0.669944012016933,0.1272290393432908
51,0.6247751798561152,0.5002048340843916,0.3136206028044693
52,0.5269784172661871,0.4062542673767582,0.2228613527020065
53,0.6794064748201438,0.5258773726614775,0.3406666134670868
54,0.4462679856115108,0.3172197186945241,0.1492308482043122
55,0.4101843525179856,0.2675133142154854,0.113631321768307
56,0.3657823741007194,0.2176703536801857,0.08209399352720809
57,0.3726393884892087,0.2182165779052301,0.08241635532832627
58,0.3870278776978417,0.2391096545131776,0.0951370209825371
59,0.3252023381294964,0.1319131503482179,0.03819455412909632
60,0.3221672661870503,0.1436569711866721,0.04339353483724798
61,0.38556654676259,0.2113887750921753,0.07842455762581885
62,0.5067446043165469,0.3605079885292913,0.1834823908907136
63,0.5511091127098471,0.4204560972279121,0.2357373945893063
64,0.5016861510791366,0.3809913969684555,0.2007159596842862
65,0.5524955035971224,0.4372524921480268,0.251357927830455
66,0.507306654676259,0.4009285811825755,0.2181117086178904
67,0.4714478417266187,0.3692475761300014,0.1907556698894035
68,0.4214253597122302,0.29550730574901,0.1331819685075009
69,0.4409847122302159,0.3079339068687696,0.1422735250880432
70,0.4509892086330935,0.3296463198142837,0.1587585118290848
71,0.4723471223021583,0.3370203468523829,0.164528968840655
72,0.5521582733812951,0.4257817834220948,0.2406444058930169
73,0.6164568345323742,0.4932404752150757,0.3064474391144801
74,0.6133093525179856,0.4865492284582821,0.299621834926334
75,0.5885791366906474,0.471937730438345,0.2849437108480964
76,0.5379946043165469,0.3852246347125495,0.2043585506449956
77,0.473021582733813,0.3422094769903046,0.1686414504559897
78,0.4765062949640288,0.3439847057216988,0.1700581411934605
79,0.4825764388489209,0.3613273248668578,0.1841591997241615
80,0.446043165467626,0.295643861805271,0.1332805061266917
81,0.4805530575539569,0.3192680595384405,0.1507842822239989
82,0.4050134892086331,0.2128908917110474,0.07929570495583657
83,0.3712904676258993,0.1681005052574081,0.05505962704283934
84,0.3516187050359712,0.1283626928854295,0.03667565845711482
85,0.3547661870503597,0.1264509080977741,0.03586805394498821
86,0.3879271582733814,0.1851700122900451,0.06386707473899488
87,0.4388489208633093,0.2429332240884883,0.09754665921917074
88,0.4778552158273382,0.2948245254677045,0.1326897384958563
89,0.5148381294964028,0.3419363648777823,0.1684239404825612
90,0.506070143884892,0.3379762392462106,0.165283322828838
91,0.4379496402877698,0.2713368837907961,0.1162249165085607
92,0.4219874100719425,0.2705175474532295,0.1156670881341905
93,0.4316546762589928,0.2854021575856889,0.1259751411979103
94,0.4923561151079137,0.361463880923119,0.1842721031713726
95,0.5020233812949642,0.3646046702171242,0.1868769167560226
96,0.503484712230216,0.3670626792298238,0.1889261947016637
97,0.6482688848920863,0.5074423050662297,0.321149349898229
98,0.6977293165467626,0.5451317765942919,0.3615694278875995
99,0.5694694244604317,0.413218626246074,0.2291374298279489
100,0.4658273381294964,0.3038372251809368,0.1392485188598017
101,0.4790917266187051,0.3002867677181483,0.1366489300143268
102,0.4476169064748202,0.2671036460467021,0.113354888032023
103,0.4461555755395684,0.2567253857708589,0.1064459970276127
104,0.4562724820143885,0.2576812781646866,0.1070747508017184
105,0.4207508992805756,0.1915881469343165,0.06731642867750882
106,0.4120953237410073,0.1787518776457736,0.06049268178861879
107,0.4104091726618705,0.1747917520142018,0.0584482567212972
108,0.464478417266187,0.2437525604260549,0.09806627106094307
109,0.5212455035971224,0.3181756110883518,0.1499549437127498
110,0.4099595323741007,0.5832309162911375,0.4044728349609286
111,0.4099595323741007,0.2871773863170831,0.1272290393432908
