,log_PT08.S4(NO2),log_PT08.S2(NMHC),log_C6H6(GT)
0,0.4141205867083552,0.3087610855823787,0.169319053985914
1,0.3737164097935841,0.271680079216198,0.1357783309826857
2,0.3724004673503246,0.2652068889369634,0.1302807507102846
3,0.3814223892072005,0.2689706152826924,0.1334641891049279
4,0.3522135679351759,0.2207646485886164,0.09545216860738386
5,0.3210664040612865,0.1827083907901088,0.06972128409343871
6,0.3012197444845455,0.1546772573779685,0.05320933439840747
7,0.3012197444845455,0.1464544928515127,0.04876032814730769
8,0.2821587534448032,0.1160366286338766,0.03386394508812544
9,0.2680722098486751,0.09253797711274274,0.02404498425192861
10,0.2549175415751332,0.0754628604365112,0.01783850165605187
11,0.2497644667196376,0.067963619698507,0.01536097407703841
12,0.2634186337153648,0.0887963913059764,0.0226179560618738
13,0.3032969335493111,0.1440926589713641,0.04751560033910018
14,0.3607135404084172,0.2485187111974777,0.1166036069232321
15,0.3811152874773396,0.2739669824997946,0.1377461486457556
16,0.3381249041293558,0.217144437295621,0.09284102887975569
17,0.31082167240744,0.1880405266296155,0.07309716552109183
18,0.3237535926820836,0.1935694546774054,0.0766767391359002
19,0.36688567610072,0.2351158407517067,0.1061394588346998
20,0.4254234810221095,0.3039359857506219,0.1647588439391304
21,0.4005067927887411,0.2623747687243412,0.1279092038254848
22,0.3835694646428656,0.2535120814664958,0.1206208821046889
23,0.422038635994945,0.2983784511109374,0.1595785561098989
24,0.5240471849576805,0.4126765142835244,0.2812062880019389
25,0.3435610035343111,0.4720669095691421,0.1197624436403356
26,0.5524602376619551,0.4431194526554144,0.3187001386835611
27,0.4184203931699358,0.3210201716858682,0.1811655465118459
28,0.3011365671087438,0.1819118046882421,0.06922338579560156
29,0.2740725707285943,0.1260784527780018,0.03850945131354124
30,0.3151782614360639,0.2073149915413138,0.08592426127179557
31,0.3162439663366968,0.2179134568336576,0.09339283324588678
32,0.2914407372229718,0.1679255627135022,0.06075437005071803
33,0.2515142484434253,0.09923775403475238,0.02669400968724094
34,0.2327198539684158,0.06476893293567457,0.01435177538651417
35,0.2401739660410174,0.06246242243080714,0.01364036408495093
36,0.2639367684419824,0.09775278902978753,0.02609649969511076
37,0.3104921016703382,0.1735665147578222,0.06410792334275736
38,0.4741681694187517,0.3822098524844449,0.2457618961711188
39,0.5173689178506848,0.4250722537087079,0.2962271187674328
40,0.4199726720047473,0.3372327596636908,0.1974014111983136
41,0.3858647984738827,0.3054463319069358,0.1661800254956768
42,0.3669635607535886,0.2846048313323299,0.1470746796775167
43,0.3841820689961997,0.2967558972614048,0.1580807497453169
44,0.4046404276250949,0.321515343768281,0.1816518702514746
45,0.4282842935362341,0.3390828989518522,0.1992950484956058
46,0.4037399998610992,0.3198307573321456,0.1799998589321664
47,0.3893741093686414,0.3067534559178909,0.16741458150724
48,0.476823285567708,0.3973756693282238,0.2631405254846983
49,0.4590825879721638,0.3861157441794092,0.2501869229771618
50,0.3435610035343111,0.5127901001283002,0.1197624436403356
51,0.4853694553525628,0.405601654841496,0.2727871438229858
52,0.423290892060765,0.3409296215450169,0.2011934837225571
53,0.5184404421964447,0.4225695709580243,0.2931669630009128
54,0.368986435480582,0.2755232415678475,0.1390928909617438
55,0.3437204423101591,0.2370569607400513,0.1076261367903925
56,0.3117274322783309,0.1969394870738096,0.07889804682431523
57,0.3167354473426582,0.1973879678527137,0.07919590800448652
58,0.3271632404081701,0.2143931011628394,0.09087948875732912
59,0.2815651558017639,0.1239092545304564,0.03748319890416548
60,0.2792722585295376,0.1342309976321974,0.04247841534126937
61,0.3261091150318249,0.1917674494595171,0.0755012331957558
62,0.4099514323668375,0.3078581509837865,0.1684612710193969
63,0.4389702316296,0.3509780152719481,0.2116678725373325
64,0.4065885774994484,0.3228016448411006,0.1829180119494459
65,0.4398636385875651,0.3627332994895124,0.2242293039358133
66,0.4103243857892785,0.337135289026643,0.1973018798751743
67,0.386246842413582,0.3142613744628556,0.1745881222994245
68,0.3516601426137019,0.2589023603318071,0.1250295768351851
69,0.3653267078217711,0.2684487218414849,0.1330205966425021
70,0.3722455366814888,0.2849129819176864,0.1473491835702664
71,0.3868578092876353,0.2904435162930016,0.1523166866671512
72,0.4396463968328456,0.3547202832290406,0.2156309268007187
73,0.4802366147846741,0.4009485740497984,0.2673115748703646
74,0.4782875678082137,0.3964574799330756,0.2620733259384691
