,sqrt_PT08.S4(NO2),sqrt_PT08.S2(NMHC),sqrt_C6H6(GT)
0,0.7162678049063239,0.6014457523631214,0.4295323008220955
1,0.6731456008918131,0.5587192001469643,0.3813501797050154
2,0.6717246673875974,0.5510904364300615,0.3730256761780709
3,0.6814440602090862,0.5555327957466373,0.3778628605928894
4,0.6497786009217504,0.497021031523135,0.3164746415944583
5,0.6153024640793813,0.4477323872485524,0.2687178777415127
6,0.5928796631391811,0.4090002065034217,0.2337742428485548
7,0.5928796631391811,0.3971426003107258,0.2235367366768014
8,0.5709546467392077,0.3507663135069369,0.1855905600663858
9,0.5544741173062904,0.3113756572781141,0.1560012687791779
10,0.5388461893966944,0.2799699560557679,0.1341587046458078
11,0.5326565700174305,0.265191193244542,0.1244168809327831
12,0.548973043853428,0.3047263005674842,0.1512470873634801
13,0.5952449468601896,0.3936891208254846,0.2205959212796653
14,0.6590542602742293,0.5311542264120871,0.3516730368318005
15,0.6811140630661466,0.5614012627796696,0.3842969842596185
16,0.6342835702444249,0.4924668069217508,0.3119090963939533
17,0.6037763354996223,0.4548432974504067,0.2753816731576416
18,0.6183095136549809,0.4621403163459696,0.2822994819027063
19,0.6657573985086945,0.5148352214085452,0.3346295574244853
20,0.7281746420691385,0.5959717294764145,0.423212399634565
21,0.7018411039913512,0.5477350231687089,0.3693911378430461
22,0.683749580774009,0.5371619372960952,0.3580462422153953
23,0.7246153780062672,0.5896369384975371,0.4159524085843996
24,0.8299692288653292,0.7147420559004186,0.5698480946758538
25,0.6402808230566497,0.7767268867250049,0.356691798816977
26,0.8587912913009706,0.7466983177388654,0.612649044843835
27,0.7208046562821203,0.6152506708291798,0.445660845451396
28,0.5927848554847588,0.4466636298127037,0.267722952907175
29,0.56152493426255,0.366566718839719,0.1981427533090287
30,0.6086900665546483,0.4799688186877014,0.2995392977315543
31,0.6098892752439199,0.4934363670358446,0.3128784738742836
32,0.5816823158277743,0.4276079505032693,0.2502755809956221
33,0.5347627726586648,0.3229997321724535,0.1644794402335998
34,0.5118865867532003,0.2586744432060049,0.1202300152560982
35,0.5210281410259979,0.2538788265201274,0.1171913746149008
36,0.549586993395361,0.3204530454034469,0.1626037971295405
37,0.6034038639431991,0.4353616957087521,0.2573081056354793
38,0.7788948313305086,0.6822899646001497,0.5278210860758124
